Clave Municipio,"Clave 
Estado",Region,Estado,Municipio,Poblacion,Poblacion Adulta,Poblacion Adulta Mujeres,Poblacion Adulta Hombres,Tipo de poblacion,PA Sucursales banca comercial,PA Sucursales banca de desarrollo,PA Sucursales Socap,PA Sucursales Sofipo,"PA Total
Sucursales",PA Corresponsales,PA Cajeros,PA Terminales punto de venta,PA Establecimientos con TPV,PA Contratos que utilizan banca movil,ID Sucursales banca comercial,ID Sucursales banca de desarrollo,ID Sucursales Socap,ID Sucursales Sofipo,"ID Total
Sucursales",ID Corresponsales,ID Cajeros,ID Terminales punto de venta,ID Establecimientos con TPV,ID Contratos que utilizan banca movil,Cable coaxial,DSL,Fibra optica,Creditos bienestar,Crédictos household
21122,21,Centro Sur y Oriente,Puebla,San Felipe Teotlalcingo,10697.51031,7755.888134,4071.504339,3684.383796,En Transición,0,0,0,0,0,4,0,4,3,1614,0,0,0,0,0,5.157371961,0,5.157371961,3.868028971,2080.999586,0,1239,161,2,0
15059,15,Centro Sur y Oriente,México,Nextlalpan,49474.28881,35672.89857,18349.59034,17323.30823,Semi-urbano,0,0,0,0,0,16,1,97,81,7446,0,0,0,0,0,4.485197627,0.280324852,27.19151061,22.70631298,2087.298845,827,1961,4,85,0
5015,5,Noreste,Coahuila,Juárez,1863.186178,1387.658543,668.173482,719.4850605,Rural,0,0,0,0,0,2,0,1,1,290,0,0,0,0,0,14.41276754,0,7.206383771,7.206383771,2089.851293,0,0,0,0,0
11044,11,Occidente y Bajío,Guanajuato,Villagrán,61451.18585,44448.5084,23672.99226,20775.51614,Urbano,3,0,3,0,6,12,19,106,90,9294,0.674938284,0,0.674938284,0,1.349876569,2.699753138,4.274609134,23.84781938,20.24814853,2090.958805,0,0,0,34,0
15050,15,Centro Sur y Oriente,México,Juchitepec,28340.82792,20764.26413,10723.66128,10040.60284,Semi-urbano,2,0,0,1,3,6,4,22,23,4344,0.963193296,0,0,0.481596648,1.444789944,2.889579888,1.926386592,10.59512625,11.0767229,2092.055839,0,2182,3,183,0
16078,16,Occidente y Bajío,Michoacán,Santa Ana Maya,13333.70957,9790.975738,5502.902266,4288.073472,En Transición,1,1,1,0,3,1,3,4,4,2050,1.021348665,1.021348665,1.021348665,0,3.064045995,1.021348665,3.064045995,4.08539466,4.08539466,2093.764763,750,454,0,2,0
20439,20,Sur,Oaxaca,Santa María Tonameca,27393.51081,19135.38033,9876.634511,9258.745817,Semi-urbano,0,0,0,0,0,1,2,46,42,4013,0,0,0,0,0,0.522592174,1.045184347,24.03923999,21.9488713,2097.162393,0,0,0,211,0
32036,32,Occidente y Bajío,Zacatecas,Ojocaliente,44528.99223,31689.55582,16737.5258,14952.03002,Semi-urbano,4,0,1,0,5,12,11,79,68,6647,1.262245524,0,0.315561381,0,1.577806905,3.786736573,3.471175192,24.9293491,21.45817391,2097.5365,0,2346,5,26,0
21047,21,Centro Sur y Oriente,Puebla,Chiautla,20368.26271,14892.28299,7860.851794,7031.431197,Semi-urbano,4,0,2,0,6,8,3,55,49,3127,2.685954868,0,1.342977434,0,4.028932303,5.371909737,2.014466151,36.93187944,32.90294714,2099.745218,0,1764,1,52,0
15001,15,Centro Sur y Oriente,México,Acambay,71404.02657,51549.05476,26941.10203,24607.95273,Urbano,4,1,0,0,5,10,6,113,97,10855,0.775959912,0.193989978,0,0,0.96994989,1.93989978,1.163939868,21.92086752,18.81702787,2105.761211,890,1173,6,20,0
21004,21,Centro Sur y Oriente,Puebla,Acatzingo,60151.54201,41815.94804,22038.45256,19777.49548,Urbano,4,0,2,1,7,23,8,117,94,8815,0.956572836,0,0.478286418,0.239143209,1.674002463,5.500293805,1.913145671,27.97975545,22.47946164,2108.047387,3436,1812,7,26,0
14065,14,Occidente y Bajío,Jalisco,Pihuamo,12962.42083,9752.337155,4970.789511,4781.547644,En Transición,0,0,3,0,3,4,3,14,11,2063,0,0,3.07618569,0,3.07618569,4.10158092,3.07618569,14.35553322,11.27934753,2115.390359,0,829,0,3,0
11004,11,Occidente y Bajío,Guanajuato,Apaseo El Alto,70555.87317,50586.76628,26831.8227,23754.94357,Urbano,4,0,10,0,14,14,10,1825,137,10720,0.790720636,0,1.97680159,0,2.767522226,2.767522226,1.97680159,360.7662901,27.08218178,2119.131304,3407,2398,256,27,0
25013,25,Noroeste,Sinaloa,Mocorito,49032.79233,37494.90405,18440.93781,19053.96624,Semi-urbano,2,0,0,0,2,16,5,34,24,7954,0.533405819,0,0,0,0.533405819,4.267246551,1.333514547,9.067898922,6.400869827,2121.354942,1555,761,12,4,0
20525,20,Sur,Oaxaca,Santo Domingo Zanatepec,11650.57816,8611.986596,4492.867431,4119.119165,En Transición,0,1,0,0,1,7,3,28,25,1828,0,1.161172267,0,0,1.161172267,8.12820587,3.483516801,32.51282348,29.02930668,2122.622904,0,452,0,141,0
7094,7,Sur,Chiapas,Teopisca,44582.14123,30565.51736,16112.09549,14453.42187,Semi-urbano,1,1,1,1,4,8,1,65,60,6489,0.327166064,0.327166064,0.327166064,0.327166064,1.308664255,2.61732851,0.327166064,21.26579414,19.62996382,2122.980588,0,442,14,975,0
21086,21,Centro Sur y Oriente,Puebla,Jalpan,13740.61139,9839.137149,5215.9667,4623.170449,En Transición,0,0,0,0,0,0,0,2,2,2092,0,0,0,0,0,0,0,2.032698569,2.032698569,2126.202703,0,0,0,4,0
30120,30,Centro Sur y Oriente,Veracruz,Oteapan,17558.91657,12831.60312,6726.963105,6104.640018,Semi-urbano,0,0,0,0,0,4,0,22,17,2731,0,0,0,0,0,3.117303397,0,17.14516868,13.24853944,2128.338894,0,0,0,116,0
8040,8,Noroeste,Chihuahua,Madera,30889.06689,23018.25965,11696.48016,11321.7795,Semi-urbano,2,1,0,0,3,9,9,124,96,4903,0.868875419,0.434437709,0,0,1.303313128,3.909939385,3.909939385,53.87027598,41.70602011,2130.04809,0,1147,0,1,0
12044,12,Sur,Guerrero,Mochitlán,12027.50014,8717.718337,4471.956406,4245.761931,En Transición,0,0,0,0,0,3,2,5,5,1859,0,0,0,0,0,3.44126741,2.294178273,5.735445683,5.735445683,2132.438705,0,0,0,16,0
12040,12,Sur,Guerrero,Leonardo Bravo,26535.61902,18572.31373,9583.720649,8988.593082,Semi-urbano,1,1,1,0,3,3,0,11,11,3968,0.538435875,0.538435875,0.538435875,0,1.615307626,1.615307626,0,5.922794628,5.922794628,2136.513553,0,774,0,97,1
14079,14,Occidente y Bajío,Jalisco,Gómez Farías,16038.53844,11663.27777,6105.395599,5557.882168,Semi-urbano,1,0,4,0,5,6,3,20,19,2501,0.85739191,0,3.42956764,0,4.286959549,5.144351459,2.57217573,17.1478382,16.29044629,2144.337167,0,0,0,6,0
19031,19,Noreste,Nuevo León,Juárez,379742.1936,272194.8231,137135.3991,135059.424,Semi-metrópoli,9,0,4,1,14,183,78,827,665,58373,0.330645524,0,0.146953566,0.036738392,0.514337482,6.723125662,2.865594544,30.38264985,24.43103041,2144.530133,0,0,0,1661,0
21142,21,Centro Sur y Oriente,Puebla,San Salvador El Seco,31165.2978,22272.29782,11779.98461,10492.31321,Semi-urbano,2,1,1,0,4,14,4,43,40,4778,0.897976498,0.448988249,0.448988249,0,1.795952996,6.285835486,1.795952996,19.30649471,17.95952996,2145.265854,1732,561,4,39,0
14047,14,Occidente y Bajío,Jalisco,Jamay,25522.19129,18668.77267,9543.362765,9125.409908,Semi-urbano,1,0,1,0,2,10,6,66,45,4008,0.535653852,0,0.535653852,0,1.071307705,5.356538523,3.213923114,35.35315425,24.10442335,2146.90064,0,1922,8,3,0
15011,15,Centro Sur y Oriente,México,Atenco,74055.80725,54748.32183,27985.89427,26762.42756,Urbano,1,0,0,0,1,7,2,107,85,11766,0.182654,0,0,0,0.182654,1.278578003,0.365308001,19.54397805,15.52559004,2149.106969,0,262,6,72,0
20459,20,Sur,Oaxaca,Santiago Chazumba,4468.944074,3362.951895,1866.993582,1495.958313,Rural,1,0,0,0,1,1,0,21,19,725,2.973578068,0,0,0,2.973578068,2.973578068,0,62.44513944,56.4979833,2155.8441,0,82,0,1,0
8044,8,Noroeste,Chihuahua,Matamoros,4959.357847,3710.426521,1873.152777,1837.273744,Rural,0,0,0,0,0,1,2,3,2,800,0,0,0,0,0,2.695107946,5.390215892,8.085323838,5.390215892,2156.086357,40677,49851,12336,0,0
15087,15,Centro Sur y Oriente,México,Temoaya,110862.1927,78796.88288,40754.32894,38042.55394,Urbano,1,1,0,4,6,19,8,107,100,17013,0.126908573,0.126908573,0,0.507634294,0.761451441,2.411262896,1.015268588,13.57921736,12.69085735,2159.09556,3757,734,12,100,0
15113,15,Centro Sur y Oriente,México,Villa Guerrero,73467.44572,52452.13231,26914.08546,25538.04686,Urbano,3,1,0,0,4,16,8,116,103,11326,0.571950056,0.190650019,0,0,0.762600074,3.050400297,1.525200149,22.11540215,19.63695191,2159.30211,324,3681,25,123,0
14125,14,Occidente y Bajío,Jalisco,San Ignacio Cerro Gordo,20080.99807,14362.83059,7598.521097,6764.309492,Semi-urbano,1,0,5,0,6,5,3,14,15,3102,0.69624159,0,3.481207948,0,4.177449537,3.481207948,2.088724769,9.747382254,10.44362384,2159.741411,1019,682,0,0,0
16050,16,Occidente y Bajío,Michoacán,Maravatío,90195.47463,64295.12095,34691.78951,29603.33144,Urbano,4,1,3,1,9,18,16,152,143,13891,0.622131188,0.155532797,0.466598391,0.155532797,1.399795174,2.799590348,2.488524753,23.64098516,22.24118998,2160.506084,0,0,0,143,0
22004,22,Occidente y Bajío,Querétaro,Cadereyta de Montes,73722.03283,53122.45656,28263.47506,24858.9815,Urbano,3,1,3,0,7,10,7,78,73,11507,0.56473292,0.188244307,0.56473292,0,1.317710146,1.882443066,1.317710146,14.68305591,13.74183438,2166.127236,952,1792,106,2,0
20441,20,Sur,Oaxaca,Santa María Xadani,8194.847468,5740.188086,2929.293963,2810.894123,En Transición,0,0,0,0,0,1,0,4,4,1246,0,0,0,0,0,1.742103194,0,6.968412777,6.968412777,2170.66058,0,0,0,10,0
12068,12,Sur,Guerrero,"Unión de Isidoro Montes de Oca, La",26402.66086,19139.52085,9577.959085,9561.561766,Semi-urbano,1,1,1,0,3,8,6,46,37,4156,0.522479119,0.522479119,0.522479119,0,1.567437358,4.179832955,3.134874716,24.03403949,19.33172742,2171.42322,0,0,0,9,0
21097,21,Centro Sur y Oriente,Puebla,Mixtla,2407.250407,1754.028777,954.0958054,799.9329714,Rural,0,0,0,0,0,1,0,3,2,381,0,0,0,0,0,5.70116074,0,17.10348222,11.40232148,2172.142242,0,0,0,19,0
16012,16,Occidente y Bajío,Michoacán,Buenavista,46012.35446,33069.26243,16684.45767,16384.80476,Semi-urbano,2,1,1,0,4,11,8,46,41,7187,0.604791233,0.302395616,0.302395616,0,1.209582466,3.326351781,2.419164932,13.91019836,12.39822028,2173.317296,0,719,8,0,0
15027,15,Centro Sur y Oriente,México,Chapultepec,13538.95528,9961.109182,5095.321439,4865.787744,En Transición,0,0,0,0,0,5,1,12,11,2166,0,0,0,0,0,5.019521329,1.003904266,12.04685119,11.04294692,2174.45664,0,0,5,11,0
16068,16,Occidente y Bajío,Michoacán,Peribán,29037.27839,20846.4139,10745.01899,10101.39491,Semi-urbano,4,0,1,0,5,8,7,92,75,4536,1.918795251,0,0.479698813,0,2.398494064,3.837590503,3.35789169,44.13229078,35.97741097,2175.913815,0,0,0,0,0
14105,14,Occidente y Bajío,Jalisco,Tototlán,24626.24911,17969.83816,9377.88534,8591.95282,Semi-urbano,3,0,2,0,5,2,5,43,32,3912,1.669464117,0,1.112976078,0,2.782440195,1.112976078,2.782440195,23.92898568,17.80761725,2176.981209,0,0,0,25,0
21153,21,Centro Sur y Oriente,Puebla,Tecali de Herrera,23159.70992,16474.91771,8721.253934,7753.663773,Semi-urbano,0,1,1,0,2,7,1,54,46,3589,0,0.606983305,0.606983305,0,1.21396661,4.248883135,0.606983305,32.77709847,27.92123203,2178.463082,341,462,0,45,1
12049,12,Sur,Guerrero,Pilcaya,12089.30065,8692.435385,4588.968526,4103.466859,En Transición,0,0,0,0,0,3,1,9,9,1897,0,0,0,0,0,3.451276733,1.150425578,10.3538302,10.3538302,2182.357321,0,616,0,5,0
26040,26,Noroeste,Sonora,Nácori Chico,2383.047448,1840.03784,872.1961881,967.8416521,Rural,0,0,0,0,0,1,0,2,2,403,0,0,0,0,0,5.434670843,0,10.86934169,10.86934169,2190.17235,0,0,0,0,0
31087,31,Sur,Yucatán,Tetiz,5479.401263,3971.909427,2062.287182,1909.622245,En Transición,0,0,0,0,0,1,0,0,0,870,0,0,0,0,0,2.517680774,0,0,0,2190.382273,0,0,0,0,0
28029,28,Noreste,Tamaulipas,Ocampo,13916.03104,10685.16341,5303.625705,5381.537706,En Transición,1,0,0,0,1,4,1,28,25,2343,0.935877124,0,0,0,0.935877124,3.743508495,0.935877124,26.20455947,23.39692809,2192.760101,0,1905,5,60,0
31005,31,Sur,Yucatán,Bokobá,2297.838515,1735.507792,858.971596,876.5361957,Rural,0,0,0,0,0,0,0,2,2,381,0,0,0,0,0,0,0,11.52400473,11.52400473,2195.322901,0,0,0,0,0
30134,30,Centro Sur y Oriente,Veracruz,Puente Nacional,23303.43616,17774.26161,9113.523033,8660.738576,Semi-urbano,0,0,0,0,0,9,1,23,18,3904,0,0,0,0,0,5.063501482,0.562611276,12.94005934,10.12700296,2196.434421,0,368,0,34,4
14103,14,Occidente y Bajío,Jalisco,Tonila,7676.584205,5757.590953,2951.345398,2806.245554,En Transición,0,0,2,0,2,5,0,15,14,1265,0,0,3.473675043,0,3.473675043,8.684187607,0,26.05256282,24.3157253,2197.099465,0,769,0,6,0
30158,30,Centro Sur y Oriente,Veracruz,Tecolutla,26425.85225,20103.22075,10367.16497,9736.055779,Semi-urbano,0,0,0,0,0,14,2,122,116,4417,0,0,0,0,0,6.964058235,0.994865462,60.68679319,57.7021968,2197.160373,0,817,134,279,0
29030,29,Centro Sur y Oriente,Tlaxcala,Terrenate,15899.04095,11299.38995,5803.293003,5496.096947,Semi-urbano,0,0,0,0,0,4,0,3,2,2483,0,0,0,0,0,3.540014122,0,2.655010592,1.770007061,2197.463767,0,123,0,44,0
20166,20,Sur,Oaxaca,San José Chiltepec,11978.42859,8673.910422,4645.351566,4028.558856,En Transición,0,0,0,0,0,3,0,10,10,1909,0,0,0,0,0,3.458647662,0,11.52882554,11.52882554,2200.852795,0,0,0,5,0
21063,21,Centro Sur y Oriente,Puebla,Esperanza,15018.27918,10779.57781,5755.082137,5024.495676,Semi-urbano,1,1,0,0,2,8,2,22,23,2375,0.927680116,0.927680116,0,0,1.855360233,7.421440931,1.855360233,20.40896256,21.33664268,2203.240276,0,535,6,48,0
17016,17,Centro Sur y Oriente,Morelos,Ocuituco,18996.53892,13907.58243,7207.890125,6699.692304,Semi-urbano,0,0,1,0,1,3,1,9,8,3065,0,0,0.719032229,0,0.719032229,2.157096688,0.719032229,6.471290065,5.752257835,2203.833783,0,1463,0,4,0
4008,4,Sur,Campeche,Tenabo,11277.42288,8357.134836,4143.535172,4213.599665,En Transición,0,1,0,0,1,3,3,15,14,1844,0,1.196582345,0,0,1.196582345,3.589747035,3.589747035,17.94873518,16.75215283,2206.497844,0,123,0,63,1
30172,30,Centro Sur y Oriente,Veracruz,Texistepec,22488.60579,16678.93277,8492.3922,8186.540575,Semi-urbano,1,0,0,0,1,6,1,13,12,3686,0.599558745,0,0,0,0.599558745,3.597352469,0.599558745,7.794263683,7.194704938,2209.973534,0,350,0,40,0
31083,31,Sur,Yucatán,Telchac Puerto,1967.49007,1494.654366,726.4858757,768.16849,Rural,0,0,0,0,0,0,2,18,11,331,0,0,0,0,0,0,13.38102003,120.4291802,73.59561015,2214.558814,0,146,259,12,0
11046,11,Occidente y Bajío,Guanajuato,Yuriria,76751.48936,56376.26513,30295.09966,26081.16547,Urbano,2,1,5,1,9,12,7,70,59,12504,0.354759223,0.177379611,0.886898057,0.177379611,1.596416503,2.128555337,1.24165728,12.4165728,10.46539707,2217.954661,355,4959,11,42,0
14118,14,Occidente y Bajío,Jalisco,Yahualica de González Gallo,23041.43587,17436.96703,9274.260507,8162.706527,Semi-urbano,3,0,2,0,5,7,7,64,46,3869,1.720482693,0,1.146988462,0,2.867471155,4.014459617,4.014459617,36.70363078,26.38073463,2218.84918,0,0,0,3,0
15064,15,Centro Sur y Oriente,México,"Oro, El",40596.93645,29586.85257,15216.00697,14370.84559,Semi-urbano,1,1,1,1,4,5,5,137,127,6572,0.337987962,0.337987962,0.337987962,0.337987962,1.351951848,1.68993981,1.68993981,46.30435079,42.92447117,2221.256886,0,0,0,2,0
21051,21,Centro Sur y Oriente,Puebla,Chietla,36480.09519,26745.50524,14226.10621,12519.39902,Semi-urbano,2,1,2,0,5,11,3,35,27,5944,0.747789201,0.373894601,0.747789201,0,1.869473003,4.112840607,1.121683802,13.08631102,10.09515422,2222.429506,0,2419,200,24,0
29042,29,Centro Sur y Oriente,Tlaxcala,Xicohtzinco,14455.17391,10800.62485,5694.569082,5106.055772,En Transición,0,0,0,0,0,2,3,48,29,2402,0,0,0,0,0,1.851744716,2.777617074,44.44187318,26.85029838,2223.945404,0,1572,0,6,5
14107,14,Occidente y Bajío,Jalisco,Tuxcueca,7032.530082,5106.837076,2683.7745,2423.062575,En Transición,0,0,2,0,2,3,1,7,5,1138,0,0,3.916318399,0,3.916318399,5.874477599,1.9581592,13.7071144,9.790795998,2228.385169,483,169,0,14,0
15084,15,Centro Sur y Oriente,México,Temascalapa,42480.37563,31427.65125,16010.28459,15417.36666,Semi-urbano,1,1,0,0,2,8,4,82,69,7021,0.318191134,0.318191134,0,0,0.636382269,2.545529074,1.272764537,26.09167301,21.95518826,2234.019954,0,1971,0,47,0
16091,16,Occidente y Bajío,Michoacán,Tingüindín,14361.74665,10566.45662,5656.622386,4909.834237,En Transición,1,0,1,0,2,3,6,23,16,2361,0.946391052,0,0.946391052,0,1.892782104,2.839173156,5.678346313,21.7669942,15.14225683,2234.429274,0,0,0,2,0
21148,21,Centro Sur y Oriente,Puebla,Santa Isabel Cholula,8030.914431,5716.28172,3058.88508,2657.39664,En Transición,0,0,0,0,0,5,0,6,2,1278,0,0,0,0,0,8.746944683,0,10.49633362,3.498777873,2235.719061,0,392,2,15,9
10020,10,Noroeste,Durango,Pánuco de Coronado,12725.98788,9539.156536,4835.853063,4703.303473,En Transición,0,0,0,0,0,5,3,17,14,2133,0,0,0,0,0,5.24155357,3.144932142,17.82128214,14.67635,2236.046753,0,0,0,2,0
30090,30,Centro Sur y Oriente,Veracruz,Jamapa,11198.05125,8489.065984,4430.526633,4058.539351,En Transición,1,0,0,0,1,5,2,10,10,1902,1.177985896,0,0,0,1.177985896,5.889929481,2.355971792,11.77985896,11.77985896,2240.529174,0,265,0,67,0
11023,11,Occidente y Bajío,Guanajuato,Pénjamo,161081.7245,116851.2574,63667.83324,53183.42412,Urbano,11,1,5,3,20,18,27,394,312,26212,0.941367705,0.085578882,0.427894412,0.256736647,1.711577646,1.540419881,2.310629822,33.71807963,26.70061128,2243.193663,0,0,0,51,0
21161,21,Centro Sur y Oriente,Puebla,Tepanco de López,21922.70533,15461.8435,8453.638065,7008.205435,Semi-urbano,0,0,0,0,0,10,1,20,18,3475,0,0,0,0,0,6.467534095,0.646753409,12.93506819,11.64156137,2247.468098,0,0,0,71,0
15006,15,Centro Sur y Oriente,México,Almoloya del Río,13770.00412,10028.45195,5301.48088,4726.971068,En Transición,1,0,0,0,1,3,2,12,12,2256,0.997162877,0,0,0,0.997162877,2.991488632,1.994325755,11.96595453,11.96595453,2249.599451,0,0,0,12,0
26068,26,Noroeste,Sonora,Villa Pesqueira,1233.888997,991.1500533,456.4062471,534.7438062,Rural,0,0,0,0,0,6,2,0,0,223,0,0,0,0,0,60.53573805,20.17857935,0,0,2249.911598,0,24,0,0,0
24034,24,Noreste,San Luis Potosí,San Vicente Tancuayalab,16761.07019,12326.86775,6315.568438,6011.299316,Semi-urbano,0,0,2,0,2,5,2,13,12,2780,0,0,1.62247218,0,1.62247218,4.05618045,1.62247218,10.54606917,9.734833081,2255.23633,0,0,0,94,0
14084,14,Occidente y Bajío,Jalisco,Talpa de Allende,15732.39696,11703.75996,5930.303662,5773.456303,Semi-urbano,1,0,3,0,4,4,4,38,38,2645,0.854426272,0,2.563278817,0,3.41770509,3.41770509,3.41770509,32.46819835,32.46819835,2259.957491,0,1344,0,1,0
16009,16,Occidente y Bajío,Michoacán,Ario,37650.88181,27103.2374,14262.02783,12841.20957,Semi-urbano,6,0,2,0,8,8,11,83,74,6131,2.213757682,0,0.737919227,0,2.95167691,2.95167691,4.058555751,30.62364794,27.30301141,2262.091392,0,1600,23,32,0
8038,8,Noroeste,Chihuahua,Julimes,5572.602118,4236.276148,2086.771943,2149.504205,En Transición,1,0,1,1,3,0,1,14,12,959,2.360563771,0,2.360563771,2.360563771,7.081691314,0,2.360563771,33.0478928,28.32676525,2263.780657,0,131,0,0,0
11014,11,Occidente y Bajío,Guanajuato,Dolores Hidalgo,161976.6588,114188.8703,62691.97334,51496.89694,Urbano,11,1,5,3,20,28,29,627,498,25855,0.9633163,0.087574209,0.437871045,0.262722627,1.751484182,2.452077854,2.539652063,54.90902909,43.61195612,2264.231176,0,0,0,17,0
